"±âÁØ_³¯Â¥","ÇàÁ¤µ¿_ID","ÁöÇÏÃ¶_½Â°´_¼ö","ÁöÇÏÃ¶_½Â°´_¼ö_00½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_01½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_02½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_03½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_04½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_05½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_06½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_07½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_08½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_09½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_10½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_11½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_12½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_13½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_14½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_15½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_16½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_17½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_18½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_19½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_20½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_21½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_22½Ã","ÁöÇÏÃ¶_½Â°´_¼ö_23½Ã"
"20260903","11250580","18189","19","0","0","0","7","621","1128","3048","3376","1658","972","793","809","706","659","619","691","801","878","517","418","243","164","62"
"20260903","11250560","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11250550","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11250540","11994","14","0","0","0","0","191","501","1341","1109","694","563","673","617","527","539","766","1034","998","765","434","328","420","377","103"
"20260903","11250530","9541","15","0","0","0","0","228","739","1507","1324","767","474","458","436","356","379","385","541","498","465","316","262","194","136","61"
"20260903","11240820","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240810","19526","28","0","0","0","0","218","848","2120","2322","1326","825","598","680","805","776","959","1225","1891","2079","1133","822","487","290","94"
"20260903","11240800","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240790","26842","146","0","0","0","1","239","894","3035","3887","2267","1454","1065","1100","1056","1007","1191","1365","1516","1586","1194","1035","1118","1047","639"
"20260903","11240780","27859","48","0","0","0","2","133","489","1303","1649","1083","668","572","620","737","1149","716","1326","1545","1421","836","1326","11065","848","323"
"20260903","11240770","102467","341","0","0","0","4","636","2495","6055","8239","5480","3435","3581","3769","4204","4630","6067","7083","9620","11336","7282","6611","6241","3902","1456"
"20260903","11240750","27994","53","0","0","0","1","264","1067","3102","3470","2107","1537","1286","1225","1202","1175","1413","1690","2421","2483","1148","818","711","572","249"
"20260903","11240710","9548","19","0","0","0","0","195","380","1127","1678","1029","502","340","404","357","347","365","419","582","765","337","268","205","175","54"
"20260903","11240690","37778","101","0","0","0","3","240","890","2501","3110","1758","1241","1091","1175","1223","1409","1798","2173","5183","7095","2595","1624","1326","929","313"
"20260903","11240680","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240670","16326","5","0","0","0","2","289","816","2187","2034","1218","871","637","694","671","725","744","970","1313","1442","595","416","402","212","83"
"20260903","11240660","31550","68","0","0","0","7","445","1137","3048","3260","2077","1550","1460","1497","1462","1427","1774","1941","2389","3318","1423","1153","1003","773","338"
"20260903","11240650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240640","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240630","18207","55","0","0","0","0","259","581","1692","2542","1388","852","828","860","778","793","860","912","1259","1649","877","673","614","524","211"
"20260903","11240620","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240610","10923","37","0","0","0","0","152","480","1182","1527","921","512","453","479","438","426","533","554","707","742","468","383","416","334","179"
"20260903","11240600","12038","15","0","0","0","4","239","641","1809","1775","874","524","436","484","448","402","456","721","889","1157","359","275","258","219","53"
"20260903","11240590","18178","36","0","0","0","0","243","845","1934","2101","1273","885","786","760","773","773","907","1125","1437","1425","922","702","660","482","109"
"20260903","11240580","6431","32","0","0","0","1","100","220","665","990","531","330","255","237","290","223","251","257","369","599","258","269","271","198","85"
"20260903","11240570","8537","19","0","0","0","0","112","334","919","834","481","347","294","427","347","294","349","502","624","834","364","335","462","555","104"
"20260903","11240560","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240550","8350","3","0","0","0","3","288","714","1998","1411","697","397","317","308","256","264","256","272","287","415","154","129","87","60","34"
"20260903","11240540","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240530","11701","14","0","0","0","0","289","800","2115","1956","948","553","500","454","443","370","439","600","682","640","329","222","180","129","38"
"20260903","11240520","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11240510","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230800","10074","1","0","0","0","0","109","424","1403","1408","863","556","440","451","353","380","534","682","640","722","352","246","279","172","59"
"20260903","11230790","78975","148","0","0","0","6","304","971","2327","2364","1706","1551","2015","2206","2617","3400","4288","6359","11380","14617","7909","5465","4505","4002","835"
"20260903","11230780","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230770","48071","71","0","0","0","4","147","428","912","1333","1112","1033","1335","1847","2033","2494","3231","3742","5424","7873","5743","3997","2621","2047","644"
"20260903","11230760","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230750","42068","106","0","0","0","7","320","1264","3822","4425","2985","2029","1476","1981","1674","1344","2291","2551","4083","4766","2250","1645","1412","1110","527"
"20260903","11230730","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230720","13421","10","0","0","0","0","115","429","1238","1168","781","750","794","663","590","678","941","1360","1717","954","492","298","227","150","66"
"20260903","11230710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230680","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230670","25848","23","0","0","0","4","174","694","1977","2326","1412","1124","995","1000","889","1062","1322","1942","2631","2891","1450","1271","1144","1312","205"
"20260903","11230660","14869","11","0","0","0","0","95","311","774","917","666","578","561","545","624","699","802","858","1780","2867","906","615","744","401","115"
"20260903","11230650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230640","134490","529","0","0","0","1","393","1711","4320","5850","4296","3258","3520","3903","4349","5214","6587","8956","18632","23628","14240","8620","7817","6115","2551"
"20260903","11230630","76691","215","0","0","0","6","174","526","1188","1809","1703","1672","2106","2347","2659","3092","4296","6138","11589","15896","7771","4678","4234","3517","1075"
"20260903","11230600","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11230590","27476","60","0","0","0","0","90","379","909","1098","879","697","716","944","1030","1126","1382","1810","3895","5562","2753","1560","1336","868","382"
"20260903","11230580","48325","71","0","0","0","0","165","536","1044","1163","1007","877","1233","1565","1724","2070","2975","4109","6967","10029","4998","2921","2587","1860","424"
"20260903","11230530","52690","165","0","0","0","0","153","395","953","1344","1194","974","1240","1370","1618","1985","2650","3622","7074","12474","6146","3395","2952","2118","868"
"20260903","11230520","102425","408","0","0","0","3","344","987","3588","5890","4154","2694","2897","3065","3268","3728","4550","5706","11303","17837","11665","7137","6128","4842","2231"
"20260903","11230511","14014","7","0","0","0","1","158","555","1466","1651","962","802","736","599","684","694","709","1130","1315","1187","482","340","281","174","81"
"20260903","11230510","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11220680","4942","3","0","0","0","0","57","154","449","502","442","278","212","195","245","286","339","367","388","452","232","171","104","48","18"
"20260903","11220670","14128","29","0","0","0","0","67","212","635","885","744","441","428","393","454","523","662","1093","2087","2635","1063","685","612","362","118"
"20260903","11220660","62761","125","0","0","0","0","241","918","2907","3826","2488","1928","1921","2036","2159","2635","3197","4234","7914","11354","5277","3665","3155","2070","711"
"20260903","11220650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11220640","21602","59","0","0","0","1","107","458","1083","1395","1112","819","794","1036","1067","1106","1606","1991","2329","2561","1219","957","847","788","267"
"20260903","11220630","1644","0","0","0","0","0","23","46","112","142","104","79","63","63","42","59","73","262","245","162","72","39","33","17","8"
"20260903","11220620","17524","37","0","0","0","1","107","349","966","1337","964","722","608","625","733","756","928","1161","2022","2780","1105","792","734","629","168"
"20260903","11220610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11220600","83752","188","0","0","0","8","349","728","2543","3852","3463","3236","3617","4364","4608","5448","6634","6834","8869","8024","6177","6123","4576","3015","1096"
"20260903","11220590","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11220580","5626","11","0","0","0","0","54","124","433","556","338","234","228","241","371","261","416","462","351","440","270","233","359","181","63"
"20260903","11220570","12628","25","0","0","0","0","100","301","1054","1312","831","585","534","502","585","582","813","988","1106","1096","700","544","524","342","104"
"20260903","11220560","4034","3","0","0","0","0","21","65","185","165","97","143","95","102","108","134","279","881","930","409","196","76","76","58","11"
"20260903","11220550","8536","13","0","0","0","0","67","311","966","1237","683","481","430","395","393","329","431","570","581","541","403","263","224","168","50"
"20260903","11220540","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11220530","59523","94","0","0","0","2","186","791","2266","3165","2503","1997","2251","2418","2423","2806","3513","4588","8286","9981","4147","2975","2588","1969","574"
"20260903","11220520","136739","630","0","0","0","4","343","1372","4808","7746","5432","3658","3726","4159","4782","5077","6476","8008","15607","21109","13521","9565","9247","8235","3234"
"20260903","11220510","55578","179","0","0","0","3","164","668","1669","2209","1805","1577","1904","2070","2620","3033","3392","3908","6904","9108","4189","3678","3296","2277","925"
"20260903","11210830","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210820","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210810","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210800","81075","212","0","0","0","213","1655","3304","10354","13505","8194","3831","3000","3243","3380","3017","3476","3941","4490","5010","2905","2410","2248","1734","953"
"20260903","11210790","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210780","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210730","3755","7","0","0","0","1","36","107","350","330","173","153","162","168","195","236","327","392","419","337","131","85","73","51","22"
"20260903","11210720","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210690","2697","17","0","0","0","0","47","83","229","346","182","147","117","136","128","156","150","169","185","194","120","111","81","66","33"
"20260903","11210680","27216","44","0","0","0","8","911","1478","4091","5605","3188","1531","1115","1162","1055","848","855","984","1151","1121","671","532","402","318","146"
"20260903","11210660","11401","12","0","0","0","2","266","461","1658","2055","1178","640","508","591","530","467","423","532","555","529","334","210","222","145","83"
"20260903","11210650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210640","65037","269","0","0","0","11","1479","3192","9228","12737","7111","3441","2594","2768","2510","2360","2230","2607","2745","3040","1940","1592","1361","1142","680"
"20260903","11210630","75756","375","0","0","0","5","903","2706","7197","8313","5853","3519","2775","2992","2999","3227","3448","3808","4759","6070","3919","3436","3841","3736","1875"
"20260903","11210620","31655","96","0","0","0","2","511","1220","3946","5633","3359","1561","1174","1253","1153","1081","1071","1577","1850","2107","1198","963","861","704","335"
"20260903","11210610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210580","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210570","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210540","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11210520","5574","16","0","0","0","0","95","184","682","848","492","284","246","267","258","226","262","300","393","431","216","148","120","73","33"
"20260903","11200730","44965","145","0","0","0","4","479","1391","4039","4922","2919","2094","1878","2065","1987","1915","2311","2700","3298","4136","2312","2087","1976","1549","758"
"20260903","11200720","42231","73","0","0","0","30","1094","1729","4730","6727","3045","1887","1559","1755","1687","1543","1604","2214","2676","2556","1610","1598","1842","1659","613"
"20260903","11200710","11898","44","0","0","0","0","147","314","891","1013","618","503","488","573","543","609","832","1300","1111","890","512","482","480","363","185"
"20260903","11200700","13288","10","0","0","0","2","76","211","734","783","645","661","736","624","645","750","883","1013","1697","1969","639","514","392","230","74"
"20260903","11200690","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200680","30005","46","0","0","0","3","633","1330","3759","5053","2658","1479","1273","1341","1202","1217","1150","1766","1637","2084","978","843","750","574","229"
"20260903","11200670","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200660","12801","13","0","0","0","1","230","610","1829","2277","1358","710","554","639","566","467","518","581","601","579","372","307","312","203","74"
"20260903","11200650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200630","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200560","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200550","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11200540","11651","32","0","0","0","0","235","465","1347","1630","992","611","507","534","534","496","513","779","794","751","422","404","303","224","78"
"20260903","11200530","32553","88","0","0","0","0","464","1196","3556","4349","2359","1435","1249","1328","1511","1655","1792","2602","2412","1996","1277","1210","928","714","432"
"20260903","11200520","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190760","25706","111","0","0","0","0","172","695","2138","2189","1216","861","724","916","823","866","966","1241","2786","4873","1680","1137","1051","833","428"
"20260903","11190750","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190740","12700","18","0","0","0","0","98","313","1204","1595","704","447","447","486","502","522","620","857","1299","1734","639","482","344","269","120"
"20260903","11190730","22179","24","0","0","0","95","302","375","1338","1797","977","927","908","996","918","949","1319","1522","2094","2741","1498","1325","999","728","347"
"20260903","11190720","35401","50","0","0","0","40","1784","1579","3735","4947","3030","1763","1430","1634","1623","1603","1585","1899","2274","2549","1296","962","772","538","308"
"20260903","11190710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190700","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190690","15355","16","0","0","0","14","247","559","1811","2313","1172","761","734","715","629","571","705","848","1199","1342","584","420","362","258","95"
"20260903","11190680","13446","19","0","0","0","15","559","717","1848","2311","1242","649","495","550","536","489","519","660","734","809","425","358","242","189","80"
"20260903","11190670","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190660","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11190630","12391","12","0","0","0","33","319","564","1832","2373","1085","533","446","485","410","309","393","541","718","1110","436","256","268","173","95"
"20260903","11190620","10644","24","0","0","0","0","104","318","1195","1265","525","356","290","369","394","365","345","550","1226","1751","601","378","282","228","78"
"20260903","11190610","10090","10","0","0","0","0","125","334","1393","1442","595","348","305","337","298","314","364","401","909","1702","486","291","240","150","46"
"20260903","11190560","43723","132","0","0","0","2","737","1609","4858","6064","3060","2012","1707","1854","1616","1467","1624","2117","3359","4511","2086","1593","1490","1239","586"
"20260903","11190550","32169","109","0","0","0","4","278","736","2602","2935","1597","1084","1124","1148","1271","1244","1465","1807","3272","5687","1950","1429","1156","893","378"
"20260903","11190540","114994","302","0","0","0","2","460","759","1883","2405","1859","2071","2911","3092","3787","4335","5686","8004","21712","24903","9988","8210","6822","4206","1597"
"20260903","11180610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180600","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180590","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180580","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180570","6450","2","0","0","0","3","207","520","1284","1007","506","318","265","240","216","181","218","266","300","458","160","123","101","66","9"
"20260903","11180550","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180540","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180530","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11180520","10150","6","0","0","0","1","158","547","1605","1227","607","392","358","384","303","321","336","554","1000","1138","529","309","201","133","41"
"20260903","11180510","60498","96","0","0","0","37","419","727","1801","1810","1136","982","1234","1373","1676","1793","2310","3609","11341","16104","6203","3392","2417","1338","700"
"20260903","11170740","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170730","13793","20","0","0","0","1","315","1009","2617","2645","1367","672","589","532","462","431","517","743","591","564","244","166","163","100","45"
"20260903","11170720","16773","1","0","0","0","21","512","1440","3612","3142","1542","832","649","613","537","419","509","559","672","657","323","264","239","169","61"
"20260903","11170710","5522","0","0","0","0","5","104","360","1050","821","356","195","154","146","161","122","138","247","215","174","117","142","208","778","29"
"20260903","11170700","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170690","16685","24","0","0","0","17","502","1243","2835","2985","1230","675","557","627","643","542","683","1132","1037","773","360","327","253","157","83"
"20260903","11170670","7446","0","0","0","0","14","291","564","1649","1385","733","419","328","343","253","205","198","231","260","225","121","82","66","50","29"
"20260903","11170650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170640","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170620","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170560","9570","0","0","0","0","315","509","409","1016","1002","602","377","348","386","351","353","391","500","941","906","407","277","246","164","70"
"20260903","11170550","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170540","81236","162","0","0","0","27","2120","3033","7853","9682","5444","2880","2547","2740","2687","2288","2944","3883","7653","11726","5593","3108","2370","1771","725"
"20260903","11170520","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11170510","55745","102","1","0","0","211","1582","2782","7141","6964","3976","2389","2042","2195","2248","2193","2402","2729","3762","4710","2493","1904","1824","1439","656"
"20260903","11160740","26635","58","0","0","0","0","119","535","1485","1428","886","889","976","1073","1152","1181","1481","1943","3528","4188","1662","1381","1283","932","455"
"20260903","11160730","62549","54","1","0","0","36","1850","3837","10940","12784","5843","3292","2606","2742","2433","1954","1993","2337","2615","2423","1648","1216","984","713","248"
"20260903","11160720","8026","6","0","0","0","1","210","531","1279","1157","601","445","404","402","326","337","397","419","441","469","234","154","114","70","29"
"20260903","11160710","44894","60","0","0","0","3","499","1429","4070","4340","2219","1651","1810","2009","2316","2377","2635","2749","4121","4410","2456","1880","1624","1412","824"
"20260903","11160700","26559","30","0","0","0","2","339","808","2072","2101","1027","660","691","750","767","726","932","1755","4457","4037","1767","1275","1009","1155","199"
"20260903","11160690","9911","15","0","0","0","1","260","495","1248","1450","812","525","448","459","416","411","475","542","613","616","367","260","239","172","87"
"20260903","11160670","17428","14","0","0","0","0","295","1089","2612","2611","1258","919","849","901","787","697","779","1232","993","774","484","363","380","298","93"
"20260903","11160660","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160640","50169","112","1","0","0","1","520","1459","4350","3995","1927","1442","1508","1735","1739","1753","2357","3277","6621","7513","3163","2527","2113","1522","534"
"20260903","11160630","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160590","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160580","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160570","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160550","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160540","24605","31","0","0","0","3","685","1342","3668","3467","1696","1204","1044","1143","981","870","1026","1293","1613","2048","883","640","484","355","129"
"20260903","11160530","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11160520","9350","6","0","0","0","0","107","396","1205","1166","530","324","330","312","324","294","287","368","906","1728","424","331","194","86","32"
"20260903","11160510","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150720","15466","7","0","0","0","6","494","1108","2916","3395","1459","775","628","581","515","430","590","506","551","617","268","227","208","136","49"
"20260903","11150710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150700","7803","9","0","0","0","3","164","589","1488","1375","676","414","337","350","323","229","261","306","422","330","136","138","106","105","42"
"20260903","11150690","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150660","10804","9","0","0","0","4","344","804","2370","1807","935","551","486","484","393","344","344","447","407","370","224","193","129","119","40"
"20260903","11150650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150640","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150630","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150620","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150600","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150590","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150580","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150570","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150540","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11150530","14667","14","0","0","0","1","257","712","2503","2824","1120","685","674","621","610","541","603","744","718","775","429","306","253","205","72"
"20260903","11150520","25955","35","0","0","0","1","671","1610","4974","4910","2351","1300","1089","1003","883","835","805","932","1132","1191","643","525","589","322","154"
"20260903","11150510","41685","69","0","0","0","0","535","1754","5368","5575","2785","1869","1635","1682","1609","1639","1859","2333","2669","3323","1821","1777","1444","1519","420"
"20260903","11140780","20323","24","0","0","0","4","283","781","2513","3236","1642","934","956","931","937","761","1083","1325","1355","1401","797","515","423","316","106"
"20260903","11140770","46633","148","0","0","0","12","373","873","2701","3571","2113","1574","1771","1580","1814","1727","2174","2926","5248","7631","3181","2466","2322","1663","765"
"20260903","11140760","22595","149","0","0","0","3","228","587","1481","1881","1160","912","936","900","909","1061","1320","1482","1948","2400","1359","1135","1159","996","589"
"20260903","11140750","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140740","35814","111","0","0","0","12","473","1318","3871","3745","2070","1161","959","1073","1082","1005","1318","1889","4020","5597","2313","1334","1204","834","425"
"20260903","11140730","21060","18","0","0","0","4","288","787","2407","2970","1635","988","937","932","942","911","989","1216","1446","1750","926","674","602","468","170"
"20260903","11140720","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140700","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140690","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140680","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140660","154120","1119","0","0","0","40","1460","2740","7070","9081","6060","4804","5012","5904","6496","7100","8507","9689","13009","16266","11787","10620","11292","10700","5364"
"20260903","11140630","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140610","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11140600","34610","74","1","0","0","1","216","745","2239","2893","1730","1156","1242","1521","1822","1745","2208","2969","3581","3448","2002","1621","1664","1290","442"
"20260903","11140590","17077","43","0","0","0","0","98","383","1341","1857","923","631","601","582","653","672","706","880","1844","2540","885","785","847","556","250"
"20260903","11130760","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130750","45611","359","0","0","0","1","201","560","1637","2429","1788","1648","1875","2095","2155","2383","2911","3890","4474","4300","2858","2931","2925","2678","1513"
"20260903","11130740","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130730","41256","84","0","0","0","1","265","684","2039","2474","1531","1264","1402","1535","1427","1588","2239","3001","5577","8859","2369","1706","1633","1093","485"
"20260903","11130720","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130710","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130700","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130690","4100","0","0","0","0","0","60","215","766","821","320","182","162","181","160","154","171","198","217","182","92","86","60","47","26"
"20260903","11130680","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130660","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130650","","","","","","","","","","","","","","","","","","","","","","","","",""
"20260903","11130640","","","","","","","","","","","","","","","","","","","","","","","","",""
